x,y1,y2
51.89289,-40.25541,44.59099
51.93894,-40.21325,44.63096
51.98498,-40.17107,44.67098
52.03103,-40.12886,44.71104
52.07708,-40.08662,44.75115
52.12312,-40.04435,44.79130
52.16917,-40.00206,44.83150
52.21522,-39.95974,44.87174
52.26126,-39.91740,44.91203
52.30731,-39.87503,44.95236
52.35335,-39.83263,44.99273
52.39940,-39.79020,45.03315
52.44545,-39.74775,45.07361
52.49149,-39.70527,45.11411
52.53754,-39.66277,45.15466
52.58358,-39.62023,45.19525
52.62963,-39.57768,45.23588
52.67568,-39.53509,45.27656
52.72172,-39.49248,45.31728
52.76777,-39.44985,45.35804
52.81381,-39.40719,45.39884
52.85986,-39.36450,45.43968
52.90591,-39.32178,45.48057
52.95195,-39.27904,45.52150
52.99800,-39.23628,45.56246
53.04404,-39.19349,45.60347
53.09009,-39.15067,45.64452
53.13614,-39.10783,45.68561
53.18218,-39.06496,45.72674
53.22823,-39.02206,45.76791
53.27427,-38.97915,45.80912
53.32032,-38.93620,45.85037
53.36637,-38.89323,45.89166
53.41241,-38.85024,45.93299
53.45846,-38.80722,45.97436
53.50450,-38.76417,46.01577
53.55055,-38.72110,46.05722
53.59660,-38.67801,46.09870
53.64264,-38.63489,46.14022
53.68869,-38.59175,46.18178
53.73473,-38.54858,46.22338
53.78078,-38.50538,46.26502
53.82683,-38.46217,46.30669
53.87287,-38.41892,46.34840
53.91892,-38.37566,46.39015
53.96496,-38.33237,46.43194
54.01101,-38.28905,46.47376
54.05706,-38.24571,46.51562
54.10310,-38.20235,46.55752
54.14915,-38.15896,46.59945
54.19520,-38.11555,46.64141
54.24124,-38.07211,46.68342
54.28729,-38.02865,46.72546
54.33333,-37.98517,46.76753
54.37938,-37.94167,46.80964
54.42543,-37.89814,46.85178
54.47147,-37.85458,46.89396
54.51752,-37.81101,46.93618
54.56356,-37.76741,46.97842
54.60961,-37.72378,47.02071
54.65566,-37.68014,47.06302
54.70170,-37.63647,47.10537
54.74775,-37.59278,47.14775
54.79379,-37.54906,47.19017
54.83984,-37.50532,47.23262
54.88589,-37.46156,47.27510
54.93193,-37.41778,47.31762
54.97798,-37.37398,47.36017
55.02402,-37.33015,47.40275
55.07007,-37.28630,47.44536
55.11612,-37.24243,47.48800
55.16216,-37.19853,47.53068
55.20821,-37.15461,47.57339
55.25425,-37.11067,47.61613
55.30030,-37.06671,47.65890
55.34635,-37.02273,47.70170
55.39239,-36.97873,47.74453
55.43844,-36.93470,47.78739
55.48448,-36.89065,47.83028
55.53053,-36.84659,47.87321
55.57658,-36.80249,47.91616
55.62262,-36.75838,47.95914
55.66867,-36.71425,48.00215
55.71471,-36.67010,48.04519
55.76076,-36.62592,48.08827
55.80681,-36.58173,48.13137
55.85285,-36.53751,48.17449
55.89890,-36.49327,48.21765
55.94494,-36.44901,48.26084
55.99099,-36.40474,48.30405
56.03704,-36.36044,48.34729
56.08308,-36.31612,48.39056
56.12913,-36.27178,48.43386
56.17518,-36.22742,48.47718
56.22122,-36.18304,48.52053
56.26727,-36.13864,48.56391
56.31331,-36.09422,48.60731
56.35936,-36.04978,48.65075
56.40541,-36.00532,48.69420
56.45145,-35.96084,48.73769
56.49750,-35.91635,48.78120
56.54354,-35.87183,48.82473
56.58959,-35.82729,48.86829
