x,y1,y2
-31.89734,47.51498,87.76880
-31.79180,47.45681,87.69300
-31.68627,47.39880,87.61761
-31.58073,47.34096,87.54263
-31.47520,47.28328,87.46807
-31.36966,47.22578,87.39392
-31.26412,47.16844,87.32018
-31.15859,47.11128,87.24685
-31.05305,47.05429,87.17393
-30.94752,46.99747,87.10142
-30.84198,46.94084,87.02932
-30.73645,46.88438,86.95763
-30.63091,46.82811,86.88635
-30.52538,46.77202,86.81547
-30.41984,46.71612,86.74500
-30.31430,46.66040,86.67493
-30.20877,46.60488,86.60527
-30.10323,46.54955,86.53602
-29.99770,46.49441,86.46716
-29.89216,46.43946,86.39872
-29.78663,46.38472,86.33067
-29.68109,46.33017,86.26303
-29.57556,46.27583,86.19579
-29.47002,46.22169,86.12894
-29.36448,46.16775,86.06250
-29.25895,46.11402,85.99646
-29.15341,46.06050,85.93082
-29.04788,46.00719,85.86558
-28.94234,45.95409,85.80073
-28.83681,45.90120,85.73629
-28.73127,45.84853,85.67223
-28.62574,45.79608,85.60858
-28.52020,45.74384,85.54532
-28.41466,45.69183,85.48246
-28.30913,45.64004,85.41999
-28.20359,45.58847,85.35791
-28.09806,45.53712,85.29623
-27.99252,45.48601,85.23494
-27.88699,45.43512,85.17404
-27.78145,45.38446,85.11353
-27.67592,45.33404,85.05342
-27.57038,45.28384,84.99369
-27.46484,45.23389,84.93436
-27.35931,45.18416,84.87541
-27.25377,45.13468,84.81686
-27.14824,45.08544,84.75869
-27.04270,45.03643,84.70091
-26.93717,44.98767,84.64351
-26.83163,44.93915,84.58650
-26.72610,44.89088,84.52988
-26.62056,44.84285,84.47365
-26.51503,44.79507,84.41779
-26.40949,44.74754,84.36233
-26.30395,44.70026,84.30724
-26.19842,44.65324,84.25254
-26.09288,44.60646,84.19823
-25.98735,44.55995,84.14429
-25.88181,44.51368,84.09074
-25.77628,44.46768,84.03756
-25.67074,44.42193,83.98477
-25.56521,44.37644,83.93236
-25.45967,44.33122,83.88033
-25.35413,44.28625,83.82867
-25.24860,44.24155,83.77740
-25.14306,44.19712,83.72650
-25.03753,44.15295,83.67598
-24.93199,44.10904,83.62584
-24.82646,44.06541,83.57607
-24.72092,44.02205,83.52668
-24.61539,43.97895,83.47766
-24.50985,43.93613,83.42902
-24.40431,43.89358,83.38075
-24.29878,43.85130,83.33286
-24.19324,43.80930,83.28534
-24.08771,43.76758,83.23819
-23.98217,43.72613,83.19142
-23.87664,43.68496,83.14502
-23.77110,43.64407,83.09898
-23.66557,43.60346,83.05332
-23.56003,43.56313,83.00803
-23.45449,43.52308,82.96311
-23.34896,43.48331,82.91856
-23.24342,43.44383,82.87437
-23.13789,43.40463,82.83056
-23.03235,43.36572,82.78711
-22.92682,43.32710,82.74403
-22.82128,43.28876,82.70131
-22.71575,43.25071,82.65897
-22.61021,43.21296,82.61698
-22.50467,43.17549,82.57537
-22.39914,43.13831,82.53411
-22.29360,43.10142,82.49322
-22.18807,43.06483,82.45270
-22.08253,43.02853,82.41254
-21.97700,42.99252,82.37274
-21.87146,42.95681,82.33330
-21.76593,42.92139,82.29423
-21.66039,42.88627,82.25552
-21.55485,42.85145,82.21716
-21.44932,42.81693,82.17917
-21.34378,42.78270,82.14154
-21.23825,42.74877,82.10427
-21.13271,42.71514,82.06735
-21.02718,42.68182,82.03080
-20.92164,42.64879,81.99460
-20.81611,42.61607,81.95876
-20.71057,42.58364,81.92328
-20.60504,42.55152,81.88815
-20.49950,42.51971,81.85338
-20.39396,42.48819,81.81896
-20.28843,42.45698,81.78490
-20.18289,42.42608,81.75120
-20.07736,42.39548,81.71785
-19.97182,42.36519,81.68485
-19.86629,42.33521,81.65220
-19.76075,42.30553,81.61991
-19.65522,42.27616,81.58797
-19.54968,42.24709,81.55638
-19.44414,42.21834,81.52514
-19.33861,42.18989,81.49426
-19.23307,42.16176,81.46372
-19.12754,42.13393,81.43353
-19.02200,42.10641,81.40369
-18.91647,42.07921,81.37420
-18.81093,42.05231,81.34506
-18.70540,42.02573,81.31627
-18.59986,41.99945,81.28783
-18.49432,41.97349,81.25973
-18.38879,41.94784,81.23197
-18.28325,41.92250,81.20457
-18.17772,41.89748,81.17751
-18.07218,41.87277,81.15079
-17.96665,41.84837,81.12442
-17.86111,41.82429,81.09839
-17.75558,41.80052,81.07271
-17.65004,41.77706,81.04736
-17.54450,41.75392,81.02236
-17.43897,41.73109,80.99771
-17.33343,41.70857,80.97339
-17.22790,41.68637,80.94942
-17.12236,41.66449,80.92578
-17.01683,41.64292,80.90249
-16.91129,41.62167,80.87953
-16.80576,41.60073,80.85692
-16.70022,41.58010,80.83464
-16.59468,41.55980,80.81270
-16.48915,41.53981,80.79110
-16.38361,41.52013,80.76983
-16.27808,41.50077,80.74891
-16.17254,41.48172,80.72831
-16.06701,41.46300,80.70806
-15.96147,41.44458,80.68813
-15.85594,41.42649,80.66855
-15.75040,41.40871,80.64929
-15.64486,41.39124,80.63037
-15.53933,41.37409,80.61178
-15.43379,41.35726,80.59353
-15.32826,41.34075,80.57561
-15.22272,41.32455,80.55801
-15.11719,41.30866,80.54075
