residuals,dependent_var
18.20031,8.80000
211.97687,7.20000
53.08600,6.10000
-20.80604,10.80000
163.16668,8.90000
50.89799,9.30000
-38.23373,8.60000
201.05895,9.40000
-117.94105,9.40000
36.16668,8.90000
-42.10201,9.30000
-138.04595,8.40000
-99.49873,9.00000
24.76627,8.60000
-228.24622,8.10000
-119.23373,8.60000
148.97038,7.90000
-81.94105,9.40000
-109.83332,8.90000
-51.82148,8.70000
89.66996,7.80000
-49.05933,10.20000
65.16668,8.90000
-114.65367,6.80000
-186.63269,6.90000
-185.83080,8.00000
-52.16139,7.70000
182.02528,7.50000
-122.04595,8.40000
142.16920,8.00000
118.46011,9.70000
-120.56623,8.30000
281.75378,8.10000
198.66996,7.80000
390.69896,9.10000
-66.69412,9.20000
-214.02962,7.90000
-45.84172,9.80000
-46.02313,7.20000
-138.04595,8.40000
-110.26874,8.50000
-26.45232,10.10000
-198.83080,8.00000
-95.49873,9.00000
162.16920,8.00000
-110.49873,9.00000
-56.85874,6.70000
191.20031,8.80000
157.20031,8.80000
124.83861,7.70000
41.08600,6.10000
151.69896,9.10000
-26.35243,10.30000
13.76627,8.60000
-29.30104,9.10000
146.16920,8.00000
33.08343,7.60000
121.69896,9.10000
-52.97472,7.50000
-140.04595,8.40000
-46.82148,8.70000
-255.02962,7.90000
0.20031,8.80000
341.61511,3.40000
-41.66863,9.60000
159.28899,8.20000
207.16920,8.00000
-66.31514,6.20000
-23.53989,9.70000
131.50538,10.00000
-40.84172,9.80000
260.43377,8.30000
-160.04595,8.40000
-34.49873,9.00000
85.34633,6.80000
76.41655,7.30000
-80.40842,6.00000
199.16668,8.90000
67.54607,10.40000
-213.02313,7.20000
6.30588,9.20000
38.68486,6.20000
-143.26874,8.50000
26.30588,9.20000
18.76627,8.60000
-218.83134,5.30000
-219.83080,8.00000
41.30588,9.20000
193.29108,5.60000
-67.40053,4.40000
159.27601,7.40000
69.97687,7.20000
58.28899,8.20000
-252.31514,6.20000
228.76627,8.60000
78.83861,7.70000
130.34633,6.80000
-105.04595,8.40000
-127.26874,8.50000
37.73126,8.50000
-145.31514,6.20000
97.16920,8.00000
-87.04595,8.40000
-110.72399,7.40000
24.20031,8.80000
-33.83332,8.90000
72.34633,6.80000
166.43377,8.30000
134.54768,10.10000
165.35838,9.50000
273.17852,8.70000
361.27601,7.40000
-187.24622,8.10000
-61.79969,8.80000
231.95405,8.40000
77.52413,5.70000
46.29108,5.60000
24.68486,6.20000
93.97687,7.20000
-47.82148,8.70000
-127.23373,8.60000
121.41843,7.10000
-13.24118,9.90000
140.69896,9.10000
362.17852,8.70000
-98.26874,8.50000
275.97038,7.90000
208.16920,8.00000
84.28899,8.20000
33.28899,8.20000
-71.79969,8.80000
71.54768,10.10000
11.95405,8.40000
146.75378,8.10000
140.29108,5.60000
-163.24622,8.10000
13.00052,4.80000
-37.72399,7.40000
31.02528,7.50000
-4.66863,9.60000
223.66996,7.80000
312.17852,8.70000
68.33137,9.60000
188.75378,8.10000
397.90308,2.10000
15.69896,9.10000
-180.56623,8.30000
-14.84172,9.80000
193.97687,7.20000
-154.20268,6.40000
-98.22098,5.90000
-22.82148,8.70000
5.17852,8.70000
25.02528,7.50000
151.05895,9.40000
-163.04595,8.40000
143.69896,9.10000
-155.08268,4.30000
522.52228,-4.80000
-141.31514,6.20000
