x,y1,y2
3.21862,64.12231,76.79124
3.22212,64.17798,76.84612
3.22563,64.23353,76.90089
3.22913,64.28898,76.95553
3.23263,64.34432,77.01006
3.23614,64.39955,77.06446
3.23964,64.45466,77.11875
3.24314,64.50966,77.17291
3.24665,64.56455,77.22695
3.25015,64.61932,77.28086
3.25365,64.67397,77.33466
3.25716,64.72851,77.38832
3.26066,64.78293,77.44186
3.26416,64.83722,77.49527
3.26767,64.89140,77.54856
3.27117,64.94545,77.60171
3.27467,64.99939,77.65474
3.27818,65.05320,77.70763
3.28168,65.10688,77.76039
3.28519,65.16044,77.81302
3.28869,65.21387,77.86552
3.29219,65.26717,77.91788
3.29570,65.32035,77.97011
3.29920,65.37339,78.02220
3.30270,65.42631,78.07416
3.30621,65.47909,78.12597
3.30971,65.53174,78.17765
3.31321,65.58426,78.22919
3.31672,65.63664,78.28059
3.32022,65.68889,78.33185
3.32372,65.74100,78.38297
3.32723,65.79298,78.43395
3.33073,65.84482,78.48478
3.33423,65.89652,78.53547
3.33774,65.94808,78.58602
3.34124,65.99950,78.63642
3.34474,66.05078,78.68667
3.34825,66.10192,78.73678
3.35175,66.15291,78.78674
3.35526,66.20376,78.83656
3.35876,66.25447,78.88622
3.36226,66.30503,78.93574
3.36577,66.35545,78.98510
3.36927,66.40572,79.03432
3.37277,66.45584,79.08338
3.37628,66.50581,79.13229
3.37978,66.55564,79.18105
3.38328,66.60531,79.22966
3.38679,66.65483,79.27811
3.39029,66.70421,79.32641
3.39379,66.75343,79.37456
3.39730,66.80250,79.42254
3.40080,66.85141,79.47038
3.40430,66.90017,79.51805
3.40781,66.94878,79.56557
3.41131,66.99723,79.61293
3.41481,67.04553,79.66014
3.41832,67.09366,79.70718
3.42182,67.14164,79.75406
3.42533,67.18947,79.80079
3.42883,67.23713,79.84735
3.43233,67.28464,79.89376
3.43584,67.33198,79.94000
3.43934,67.37917,79.98608
3.44284,67.42619,80.03200
3.44635,67.47305,80.07775
3.44985,67.51975,80.12335
3.45335,67.56629,80.16878
3.45686,67.61266,80.21404
3.46036,67.65887,80.25914
3.46386,67.70492,80.30407
3.46737,67.75080,80.34884
3.47087,67.79651,80.39345
3.47437,67.84206,80.43788
3.47788,67.88744,80.48216
3.48138,67.93266,80.52626
3.48488,67.97771,80.57020
3.48839,68.02259,80.61396
3.49189,68.06730,80.65757
3.49540,68.11184,80.70100
3.49890,68.15622,80.74426
3.50240,68.20042,80.78736
3.50591,68.24445,80.83028
3.50941,68.28832,80.87304
3.51291,68.33201,80.91562
3.51642,68.37553,80.95804
3.51992,68.41888,81.00028
3.52342,68.46206,81.04236
3.52693,68.50506,81.08426
3.53043,68.54789,81.12599
3.53393,68.59055,81.16755
3.53744,68.63304,81.20894
3.54094,68.67535,81.25015
3.54444,68.71749,81.29120
3.54795,68.75945,81.33207
3.55145,68.80124,81.37277
3.55495,68.84285,81.41329
3.55846,68.88429,81.45364
3.56196,68.92555,81.49382
3.56547,68.96664,81.53383
3.56897,69.00755,81.57366
3.57247,69.04828,81.61332
3.57598,69.08884,81.65280
3.57948,69.12922,81.69211
3.58298,69.16943,81.73125
3.58649,69.20945,81.77021
3.58999,69.24930,81.80900
3.59349,69.28898,81.84761
3.59700,69.32847,81.88605
3.60050,69.36779,81.92431
3.60400,69.40693,81.96240
3.60751,69.44589,82.00031
3.61101,69.48467,82.03805
3.61451,69.52327,82.07562
3.61802,69.56170,82.11301
3.62152,69.59994,82.15022
3.62503,69.63801,82.18726
3.62853,69.67590,82.22412
3.63203,69.71361,82.26081
3.63554,69.75114,82.29733
3.63904,69.78850,82.33367
3.64254,69.82567,82.36983
3.64605,69.86267,82.40582
3.64955,69.89948,82.44164
3.65305,69.93612,82.47728
3.65656,69.97258,82.51275
3.66006,70.00885,82.54804
3.66356,70.04495,82.58315
3.66707,70.08088,82.61810
3.67057,70.11662,82.65286
3.67407,70.15218,82.68746
3.67758,70.18756,82.72188
3.68108,70.22277,82.75612
3.68458,70.25780,82.79020
3.68809,70.29264,82.82409
3.69159,70.32731,82.85782
3.69510,70.36181,82.89137
3.69860,70.39612,82.92475
3.70210,70.43025,82.95795
3.70561,70.46421,82.99098
3.70911,70.49799,83.02384
3.71261,70.53159,83.05653
3.71612,70.56502,83.08905
3.71962,70.59826,83.12139
3.72312,70.63133,83.15356
3.72663,70.66423,83.18556
3.73013,70.69694,83.21739
3.73363,70.72948,83.24904
3.73714,70.76184,83.28053
3.74064,70.79403,83.31185
3.74414,70.82604,83.34299
3.74765,70.85788,83.37397
3.75115,70.88954,83.40477
3.75465,70.92102,83.43541
3.75816,70.95234,83.46588
3.76166,70.98347,83.49618
3.76517,71.01443,83.52631
3.76867,71.04522,83.55627
3.77217,71.07584,83.58607
3.77568,71.10628,83.61570
3.77918,71.13655,83.64516
3.78268,71.16664,83.67445
3.78619,71.19657,83.70358
3.78969,71.22632,83.73254
3.79319,71.25590,83.76134
3.79670,71.28531,83.78997
3.80020,71.31455,83.81844
3.80370,71.34362,83.84675
3.80721,71.37251,83.87489
3.81071,71.40124,83.90287
3.81421,71.42980,83.93068
3.81772,71.45820,83.95833
3.82122,71.48642,83.98582
3.82472,71.51448,84.01315
3.82823,71.54237,84.04032
3.83173,71.57009,84.06733
3.83524,71.59764,84.09418
3.83874,71.62503,84.12087
3.84224,71.65226,84.14740
3.84575,71.67932,84.17377
3.84925,71.70622,84.19998
3.85275,71.73295,84.22604
3.85626,71.75952,84.25194
3.85976,71.78593,84.27769
3.86326,71.81217,84.30328
3.86677,71.83825,84.32871
3.87027,71.86418,84.35399
3.87377,71.88994,84.37912
3.87728,71.91554,84.40409
3.88078,71.94098,84.42891
3.88428,71.96627,84.45358
3.88779,71.99140,84.47809
3.89129,72.01636,84.50246
3.89479,72.04118,84.52668
3.89830,72.06583,84.55074
3.90180,72.09034,84.57466
3.90531,72.11468,84.59843
3.90881,72.13888,84.62206
3.91231,72.16291,84.64553
3.91582,72.18680,84.66886
3.91932,72.21054,84.69205
3.92282,72.23412,84.71509
3.92633,72.25755,84.73798
3.92983,72.28083,84.76074
3.93333,72.30397,84.78335
3.93684,72.32695,84.80581
3.94034,72.34979,84.82814
3.94384,72.37248,84.85033
3.94735,72.39502,84.87238
3.95085,72.41742,84.89429
3.95435,72.43968,84.91606
3.95786,72.46179,84.93769
3.96136,72.48375,84.95919
3.96486,72.50558,84.98055
3.96837,72.52726,85.00177
3.97187,72.54880,85.02287
3.97538,72.57021,85.04382
3.97888,72.59147,85.06465
3.98238,72.61259,85.08535
3.98589,72.63358,85.10591
3.98939,72.65443,85.12634
3.99289,72.67515,85.14665
3.99640,72.69573,85.16682
3.99990,72.71617,85.18687
4.00340,72.73649,85.20679
4.00691,72.75667,85.22659
4.01041,72.77672,85.24626
4.01391,72.79663,85.26581
4.01742,72.81642,85.28523
4.02092,72.83608,85.30453
4.02442,72.85562,85.32371
4.02793,72.87502,85.34277
4.03143,72.89430,85.36171
4.03493,72.91346,85.38053
4.03844,72.93249,85.39924
4.04194,72.95139,85.41782
4.04545,72.97018,85.43629
4.04895,72.98884,85.45465
4.05245,73.00739,85.47289
4.05596,73.02581,85.49102
4.05946,73.04412,85.50904
4.06296,73.06231,85.52694
4.06647,73.08038,85.54474
4.06997,73.09834,85.56242
4.07347,73.11618,85.58000
4.07698,73.13391,85.59747
4.08048,73.15153,85.61483
4.08398,73.16903,85.63209
4.08749,73.18643,85.64925
4.09099,73.20371,85.66630
4.09449,73.22089,85.68324
4.09800,73.23796,85.70009
4.10150,73.25493,85.71684
4.10501,73.27179,85.73349
4.10851,73.28855,85.75004
4.11201,73.30520,85.76649
4.11552,73.32175,85.78284
4.11902,73.33820,85.79910
